Sigle;Dénomination principale;Patronyme;Complément d’adresse;Adresse;Lieu dit;Acheminement;Nature;Niveau;Catégorie juridique;Téléphone;Site
0352786N;ESIR RENNES;EC SUP INGENIEURS RENNES;UNIVERSITE RENNES 1;BAT. 11D CAMPUS BEAULIEU;?;CS74205 - 35042 RENNES CEDEX;Ecole d'ingénieurs;UAI fille;Ecole ou institut interne à l'université;02 23 23 66 08;www.esir.univ-rennes1.fr
0350899M;UFR ODONTOLOG;UFR ODONTOLOGIE;UNIVERSITE RENNES 1;?;2  AVENUE DU PROFESSEUR L. BERNA;CS34317 - 35043 RENNES CEDEX;Unité de formation et de recherche en santé;UAI fille;Unité de formation et de recherche;02 23 23 43 41;?
0351583F;UFR PHILO;UFR PHILOSOPHIE;UNIVERSITE RENNES 1;?;263 avenue du Général Leclerc;35042 RENNES CEDEX;Unité de formation et de recherche (hors santé);UAI fille;Unité de formation et de recherche;02 99 28 61 23;?
0221809X;ENSSAT LANNION;ENS SC APPLIQ TECHNOL LANNION;UNIVERSITE RENNES 1;TECHNOPOLE ANTICIPA;6 RUE DE KERAMPONT;BP80518 - 22305 LANNION CEDEX;Ecole d'ingénieurs;UAI fille;Ecole ou institut interne à l'université;02 96 46 90 00;www.enssat.fr
0351574W;UFR SC ECO;UFR SC ECO ET ECO APPLIQUEE;UNIVERSITE RENNES 1;?;7  PLACE HOCHE;35065 RENNES CEDEX;Unité de formation et de recherche (hors santé);UAI fille;Unité de formation et de recherche;02 99 25 35 00;?
0352288X;SCDU;SCDU;UNIVERSITE RENNES 1;?;4  RUE LESAGE;CS36402 - 35064 RENNES CEDEX;Service commun de documentation;UAI fille;Service commun;02 99 38 25 83;?
0350697T;IUT RENNES;IUT RENNES;UNIVERSITE RENNES 1;?;3  RUE DU CLOS COURTEL;BP90422 - 35704 RENNES CEDEX 7;Institut universitaire de technologie;UAI fille;Ecole ou institut interne à l'université;02 23 23 40 00;www.iutren.univ.rennes1.fr
0222032P;UR1 - ST BRIEU;UR1 - SITE DE SAINT-BRIEUC;UNIVERSITÉ RENNES 1;?;2 avenue Antoine-Mazier;22000 ST BRIEUC;Unité de formation et de recherche (hors santé);UAI fille;Unité de formation et de recherche;?;?
0351579B;UFR MATHS;UFR MATHEMATIQUES;UNIVERSITE RENNES 1;?;Avenue du Général Leclerc;35042 RENNES CEDEX;Unité de formation et de recherche (hors santé);UAI fille;Unité de formation et de recherche;02 99 28 60 01;?
0352290Z;SCELVA;SCELVA;UNIVERSITE RENNES 1;?;?;35042 RENNES CEDEX;Service général;UAI fille;Service commun;02 99 28 63 03;?
0352287W;SCUIO;SERV UNIV INFORMAT ORIENTATION;UNIVERSITE RENNES 1;?;2  RUE DU THABOR;CS46510 - 35065 RENNES CEDEX;Service commun d'information et d'orientation;UAI fille;Service commun;02 23 23 39 79;?
0351577Z;UFR SC PHARM;UFR SC PHARMACEUTIQUES;UNIVERSITE RENNES 1;?;2  AVENUE DU PROFESSEUR LEON BER;CS34317 - 35043 RENNES CEDEX;Unité de formation et de recherche en santé;UAI fille;Unité de formation et de recherche;02 23 23 44 30;?
0352286V;SCUFC;SERVICE EDUCATION PERMANENTE;UNIVERSITE RENNES 1;?;4 rue KLEBER;35000 RENNES;Service commun de formation continue;UAI fille;Service commun;02 23 23 39 50;?
0351580C;UFR SPM;UFR STRUCT PROPRIETE MATIERE;UNIVERSITE RENNES 1;?;?;35042 RENNES CEDEX;Unité de formation et de recherche (hors santé);UAI fille;Unité de formation et de recherche;02 99 28 62 44;?
0352815V;UFR INFORM ELE;UFR INFORMATIQUE ELECTRONIQUE;UNIVERSITE RENNES 1;?;Avenue du Général Leclerc;35042 RENNES CEDEX;Unité de formation et de recherche (hors santé);UAI fille;Unité de formation et de recherche;02 99 84 71 00;?
0352794X;SC RENNES 1;SERVICES CENTRAUX;UNIVERSITE RENNES 1;?;2  RUE DU THABOR;35065 RENNES CEDEX;Service général;UAI fille;Service géneral d'université;?;?
